212813: PrintBuilding(30,52000)
212832: Insert(10531,50)
212844: PrintBuilding(10531)
300000: Insert(18067,14000)
309950: Insert(15665,13500)
319900: Insert(2495,14000)
322900: PrintBuilding(15665)
322905: PrintBuilding(18067)
329850: PrintBuilding(15665)
329865: PrintBuilding(18067)
329880: PrintBuilding(2495)
499500: Insert(19249,47000)
529500: Insert(16564,37000)
530000: PrintBuilding(17000,20000)
599550: Insert(4441,57000)
629550: Insert(4083,18000)
900000: Insert(1533,4000)
902000: Insert(5489,3500)
904000: Insert(14345,2500)
906000: Insert(17421,3500)
908000: Insert(7496,3700)
910000: PrintBuilding(1533)
910025: PrintBuilding(5489)
910050: PrintBuilding(14345)
910075: PrintBuilding(17421)
910100: PrintBuilding(7496,15000)
